name,strunz,id,formula,elements,hyperlink,comments,shift
Akermanite_R061100-1,9.BB.10,R061100-1,Ca2MgSi2O7,Ca Mg Si O,[RRUF](https://rruff.info/R061100) [Mindat](http://www.mindat.org/search.php?name=Akermanite),,
Akermanite_R061100-1,9.BB.10,R061100-1,Ca2MgSi2O7,Ca Mg Si O,[RRUF](https://rruff.info/R061100) [Mindat](http://www.mindat.org/search.php?name=Akermanite),,
Akrochordite_R100028-9,8.DD.10,R100028-9,MnMn2Mn2(AsO4)2(OH)4(H2O)4,Mn As O H,[RRUF](https://rruff.info/R100028) [Mindat](http://www.mindat.org/search.php?name=Akrochordite),,
AlSO4OH_R141118-9,,R141118-9,,,[RRUF](https://rruff.info/R141118) ,,
Alabandite_R070174-1,2.CD.10,R070174-1,MnS,Mn S,[RRUF](https://rruff.info/R070174) [Mindat](http://www.mindat.org/search.php?name=Alabandite),,
Alabandite_R070174-1,2.CD.10,R070174-1,MnS,Mn S,[RRUF](https://rruff.info/R070174) [Mindat](http://www.mindat.org/search.php?name=Alabandite),,
Alacranite_R140323-9,2.FA.20,R140323-9,As8S9,As S,[RRUF](https://rruff.info/R140323) [Mindat](http://www.mindat.org/search.php?name=Alacranite),,
Alacranite_R150030-9,2.FA.20,R150030-9,As8S9,As S,[RRUF](https://rruff.info/R150030) [Mindat](http://www.mindat.org/search.php?name=Alacranite),,
Alamosite_R060067-9,9.DO.20,R060067-9,PbSiO3,Pb Si O,[RRUF](https://rruff.info/R060067) [Mindat](http://www.mindat.org/search.php?name=Alamosite),,
Albite_R040068-1,9.FA.35,R040068-1,Na(AlSi3O8),Na Al Si O,[RRUF](https://rruff.info/R040068) [Mindat](http://www.mindat.org/search.php?name=Albite),,
Albite_R040068-1,9.FA.35,R040068-1,Na(AlSi3O8),Na Al Si O,[RRUF](https://rruff.info/R040068) [Mindat](http://www.mindat.org/search.php?name=Albite),,
Albite_R040129-1,9.FA.35,R040129-1,Na(AlSi3O8),Na Al Si O,[RRUF](https://rruff.info/R040129) [Mindat](http://www.mindat.org/search.php?name=Albite),,
Albite_R040129-1,9.FA.35,R040129-1,Na(AlSi3O8),Na Al Si O,[RRUF](https://rruff.info/R040129) [Mindat](http://www.mindat.org/search.php?name=Albite),,
Albite_R050253-1,9.FA.35,R050253-1,Na(AlSi3O8),Na Al Si O,[RRUF](https://rruff.info/R050253) [Mindat](http://www.mindat.org/search.php?name=Albite),,
Albite_R050253-1,9.FA.35,R050253-1,Na(AlSi3O8),Na Al Si O,[RRUF](https://rruff.info/R050253) [Mindat](http://www.mindat.org/search.php?name=Albite),,
Albite_R050402-1,9.FA.35,R050402-1,Na(AlSi3O8),Na Al Si O,[RRUF](https://rruff.info/R050402) [Mindat](http://www.mindat.org/search.php?name=Albite),,
Albite_R050402-1,9.FA.35,R050402-1,Na(AlSi3O8),Na Al Si O,[RRUF](https://rruff.info/R050402) [Mindat](http://www.mindat.org/search.php?name=Albite),,
Albite_R060054-1,9.FA.35,R060054-1,Na(AlSi3O8),Na Al Si O,[RRUF](https://rruff.info/R060054) [Mindat](http://www.mindat.org/search.php?name=Albite),,
Albite_R060054-1,9.FA.35,R060054-1,Na(AlSi3O8),Na Al Si O,[RRUF](https://rruff.info/R060054) [Mindat](http://www.mindat.org/search.php?name=Albite),,
Albite_R070268-1,9.FA.35,R070268-1,Na(AlSi3O8),Na Al Si O,[RRUF](https://rruff.info/R070268) [Mindat](http://www.mindat.org/search.php?name=Albite),,
Albite_R070268-1,9.FA.35,R070268-1,Na(AlSi3O8),Na Al Si O,[RRUF](https://rruff.info/R070268) [Mindat](http://www.mindat.org/search.php?name=Albite),,
Albite_R100169-9,9.FA.35,R100169-9,Na(AlSi3O8),Na Al Si O,[RRUF](https://rruff.info/R100169) [Mindat](http://www.mindat.org/search.php?name=Albite),,
Aldomarinoite_R220034,8.BG.,R220034,Sr2Mn3+(AsO4)2(OH),Sr Mn As O H,[RRUF](https://rruff.info/R220034) [Mindat](http://www.mindat.org/search.php?name=Aldomarinoite),,
Alforsite_R070356-9,8.BN.05,R070356-9,Ba5(PO4)3Cl,Ba P O Cl,[RRUF](https://rruff.info/R070356) [Mindat](http://www.mindat.org/search.php?name=Alforsite),,
Allabogdanite_R070012-9,1.BD.15,R070012-9,"(Fe,Ni)2P",Fe Ni P,[RRUF](https://rruff.info/R070012) [Mindat](http://www.mindat.org/search.php?name=Allabogdanite),,
Allactite_R070175-1,8.BE.30,R070175-1,Mn2+7(AsO4)2(OH)8,Mn As O H,[RRUF](https://rruff.info/R070175) [Mindat](http://www.mindat.org/search.php?name=Allactite),,
Allactite_R070175-1,8.BE.30,R070175-1,Mn2+7(AsO4)2(OH)8,Mn As O H,[RRUF](https://rruff.info/R070175) [Mindat](http://www.mindat.org/search.php?name=Allactite),,
Allactite_R150120-9,8.BE.30,R150120-9,Mn2+7(AsO4)2(OH)8,Mn As O H,[RRUF](https://rruff.info/R150120) [Mindat](http://www.mindat.org/search.php?name=Allactite),,
AllaniteCe_R050043-1,9.BG.05b,R050043-1,CaCe(Al2Fe2+) [Si2O7 ] [SiO4 ]O(OH),Ca Ce Al Fe Si O H,[RRUF](https://rruff.info/R050043) [Mindat](http://www.mindat.org/search.php?name=AllaniteCe),,
